lastName,firstName,suffix,gender,birth,city,state,country,status,daysInSpace,Flights
Khrunov,Yevgeny,NULL,M,1933-09-10,Tula Oblast,NULL,Russia,Retired,1,2
Kizim,Leonid,NULL,M,1941-08-05,Krasnyi Lyman,NULL,Russia,Retired,374,3
Klimuk,Pyotr,NULL,M,1942-07-10,Kamarouka,NULL,Russia,Retired,78,3
Komarov,Vladimir,NULL,M,1927-03-16,Moscow,NULL,Russia,Retired,2,2
Kondakova,Yelena,NULL,F,1957-03-30,Mytishchi,NULL,Russia,Retired,178,3
Kondratyev,Dmitri,NULL,M,1969-05-25,Irkutsk,NULL,Russia,Active,159,1
Liwei,Yang,NULL,M,1965-06-21,Suizhong,NULL,China,Active,0,1
Junlong,Fei,NULL,M,1965-05-05,Suzhou,NULL,China,Active,4,1
Haisheng,Nie,NULL,M,1964-10-13,Zaoyang,NULL,China,Active,19,2
Haipeng,Jing,NULL,M,1966-10-24,Yuncheng city,NULL,China,Active,15,2
Boming,Liu,NULL,M,1966-09-01,NULL,NULL,China,Active,2,1
Zhigang,Zhai,NULL,M,1966-10-10,Longjiang County,Qiqihar,China,Active,2,1
Liu,Wang,NULL,M,1966-01-01,Pingyao County,Shanxi,China,Active,0,1
Yang,Liu,NULL,F,1978-10-06,Zhengzhou,Henan,China,Active,13,1
Xiaoguang,Zhang,NULL,M,1966-05-01,Jinzhou,Liaoning,China,Active,0,1
Yaping,Wang,NULL,F,1978-04-01,Yantai,Shandong,China,Active,0,2
Kononenko,Oleg,NULL,M,1964-06-21,Chardzhou,NULL,Russia,Active,533,3
Korniyenko,Mikhail,NULL,M,1960-04-15,Syzran,NULL,Russia,Active,0,2
Korzun,Valery,NULL,M,1953-03-05,Krasny Sulin,NULL,Russia,Retired,381,4
Kotov,Loeg,NULL,M,1965-10-27,Simferopol,NULL,Russia,Active,546,3
Kovalyonok,Vladimir,NULL,M,1942-03-03,Beloye,NULL,Russia,Retired,216,3
Kozeyev,Konstantin,NULL,M,1967-12-01,Korolyov,NULL,Russia,Active,9,1
Krikalev,Sergei,NULL,M,1958-08-27,Leningrad,NULL,Russia,Retired,803,5
Kubasov,Valeri,NULL,M,1935-01-07,Vyazniki,NULL,Russia,Retired,18,3
Laveykin,Aleksandr,NULL,M,1951-04-21,Moscow,NULL,Russia,Retired,174,1
Lazarev,Vasily,NULL,M,1928-02-23,Poroshino,NULL,Russia,Retired,1,2
Pontes,Marcos,NULL,M,1963-03-11,Bauru,NULL,Brazil,Active,9,2
